number,status,sk_description,supplier_number,supplier_description,minimum_po_quantity,purchase_unit,stock_unit,pur_stk_conversion,price_per_stock_unit,price_per_purchase_unit,supplier_id
1798,Active,Roll Hoagie Sesame Seeded 6in,60900,12-6 EA,40,CS,EA,72,0.1913,13.7736,51
1799,Obsolete,Loaf Pullman Sourdough 7/16 in,60983,12-24 SL,40,CS,EA,228,0.0585,13.338,51
1800,Active,Pad Soaker UZ-25 3-1/8x6,1.03044E+11,Pad Soaker UZ-25 3-1/8x6,0,CS,EA,4000,0.0092,36.8,17
1802,Obsolete,Circle Flourescent Red 1in,TBD,1-1000 EA,0,M,EA,1000,0.0524,52.4,25
1803,Obsolete,Turkey Breast 50306 2-9lb,95753,Turkey Breast 50306 2-9lb,18,LB,LB,1,2.3888,2.3888,113
1804,Obsolete,Cheese Pepper Jack .75 OZ,29381,Cheese Pepper Jack .75 OZ,13,CS,EA,192,0.1505,28.896,9
1805,Obsolete,Pepper Red Yellow Strips Roast,52502,Pepper Red Yellow Strips Roast,1,CS,OZ,276,0.1957,54.0132,19
1806,Active,Turkey Breast Log 8370 3.9in,8370,1-1000 LB,1000,LB,LB,1,2.17,2.17,21
1807,Obsolete,Roll Totem 3x12 In 6-6 Ea,62499,6-6 EA,40,CS,EA,36,0.6317,22.7412,51
1808,Obsolete,Chutney Mango,203055,,10,CS,OZ,384,0.1635,62.784,108
1809,Obsolete,Pesto Basil Cibo 5 Gal,28612,1-38 LBS,1,CS,OZ,608,0.2063,125.4304,19
1810,Active,Film Tiro KS NWMF Ham   Cheese,154002 KS-HC MF,Film Tiro KS Ham   Cheese NWMF,1,RL,EA,10766,0.068,732.088,20
1811,Active,Film Tiro KS NWMF Turkey   Chs,154002 KS-TC MF,Film Tiro KS NWMF Turkey   Chs,1,RL,EA,10766,0.068,732.088,20
1813,Obsolete,Focaccia Tomato Small,230450,Focaccia Tomato Small,1,CS,EA,80,0.3013,24.104,65
1814,Obsolete,French Braided Small,230445,French Braided Small,45,CS,EA,72,0.284,20.448,65
1815,Obsolete,Cheese Jack Pepper Loaf 2-5 LB,21492,2-5 LB,5,CS,LB,10,0.135,1.35,9
1816,Active,Corner Post 2X2X38,1097935,.120 wht Angle Board 2x2x36,0,PAL,EA,2940,0,0,2
1816,Active,Corner Post 2X2X38,10295026,.120 White Angle Board 2x2x36,1,PAL,EA,2940,0,0,17
1818,Obsolete,Olive Spread Kalamata 2-5.5lb,52363,Olive Spread Kalamata 2-5.5lb,1,CS,OZ,176,0.2474,43.5424,19
1819,Active,Vegan Patty Veggieburger48-4oz,18,48-4oz Vegan Patty Veggieburge,10,CS,EA,48,1.0298,49.4304,118
1821,Obsolete,Flat Whole Wheat Lavash 7x9,54279-0612R,6-12 EA,120,CS,EA,72,0.1919,13.8168,39
1822,Active,U Pad 6 In Totem Firenza,1.05009E+11,Pac-U-Pad 6 In Totem Firenza,1,K,EA,1000,0.037,37,17
1823,Obsolete,Turkey Applewood Natural,847302,Turkey Applewood Natural,1336.5,LB,LB,1,3.51,3.51,21
1824,Active,Roll Totem 3x6 In 12-6 Ea,62555,Roll Totem 3x6 12-6 Ea,40,CS,EA,72,0.3767,27.1224,51
1880,Not Stocked,USB Docking Ball Temp Rec.,LT-USB,1-1 EA,0,EA,EA,1,0,0,116
,Active,20oz Brick Frozen 40 crate/plt,51379F,20oz Brick Frozen 40 crate/plt,1,CAR,CAR,1,0,0,119
